Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Result,Total Goals
1982,1982-07-08 21:00:00,Semi-finals,Ramon Sanchez Pizjuan,Seville ,Germany,3,3,France, win on penalties (5 - 4) ,70000,0,0,CORVER Charles (NED),GALLER Bruno (SUI),VALENTINE Robert (SCO),295,914,FRG,FRA,Draw,6
1982,1982-07-10 20:00:00,Third Place,Jose Rico Perez,Alicante ,Poland,3,2,France, ,28000,2,1,GARRIDO Antonio (POR),RUBIO VAZQUEZ Mario (MEX),LACARNE Belaid (ALG),676,921,POL,FRA,Home Win,5
1982,1982-07-11 20:00:00,Final,Santiago Bernabeu,Madrid ,Italy,3,1,Germany, ,90000,0,0,COELHO Arnaldo (BRA),KLEIN Abraham (ISR),CHRISTOV Vojtech (TCH),3475,923,ITA,FRG,Home Win,4
1986,1986-05-31 12:00:00,Group Stage,Estadio Azteca,Mexico City ,Bulgaria,1,1,Italy, ,96000,0,1,FREDRIKSSON Erik (SWE),CODESAL MENDEZ Edgardo (MEX),ROTH Volker (GER),308,459,BUL,ITA,Draw,2
1986,1986-06-01 12:00:00,Group Stage,Jalisco,Guadalajara ,Spain,0,1,Brazil, ,35748,0,0,BAMBRIDGE Christopher (AUS),SOCHA David (USA),KEIZER Jan (NED),308,439,ESP,BRA,Away Win,1
1986,1986-06-01 16:00:00,Group Stage,Nou Camp - Estadio Le�n,Leon ,Canada,0,1,France, ,65500,0,0,SILVA ARCE Hernan (CHI),MENDEZ MOLINA Romulo (GUA),ULLOA MORERA Berny (CRC),308,468,CAN,FRA,Away Win,1
1986,1986-06-02 12:00:00,Group Stage,Estadio Irapuato,Irapuato ,Soviet Union,6,0,Hungary, ,16500,3,0,AGNOLIN Luigi (ITA),COURTNEY George (ENG),BRUMMEIER Horst (AUT),308,610,URS,HUN,Home Win,6
1986,1986-06-02 12:00:00,Group Stage,Estadio Ol�mpico Universitario,Mexico City ,Argentina,3,1,Korea Republic, ,60000,2,0,SANCHEZ ARMINIO Victoriano (ESP),GONZALEZ ROA Gabriel (PAR),DIAZ PALACIO Jesus (COL),308,395,ARG,KOR,Home Win,4
1986,1986-06-02 16:00:00,Group Stage,Estadio Universitario,Monterrey ,Morocco,0,0,Poland, ,19900,0,0,MARTINEZ BAZAN Jose Luis (URU),QUINIOU Joel (FRA),TRAORE Idrissa (MLI),308,674,MAR,POL,Draw,0
1986,1986-06-03 12:00:00,Group Stage,Tres de Marzo,Guadalajara ,Algeria,1,1,Northern Ireland, ,22000,0,1,BUTENKO Valeri (RUS),DAINA Andre (SUI),PETROVIC Zoran (SRB),308,379,ALG,NIR,Draw,2
